Edad;Genero;Comunidad;curso;centro_cod;horas_uso_pantallas_cod;mom_uso_pantallas;n_freq;Aplicaciones_frecuentes;n_aplic;uso_pant;num_activ;uso_apps;uso_pant_asig;n_asign_pantallas;herra_tec_tec_ayuda_aprend;decide_uso_tec;clases_mas_gustan_tec;facil_prof_joven;participacion_clase;usar_tec_aprendo_loquegusta;eleccion_aprend
9;1;11;2;4;1;25;1;336;5;337;1;3;264;2;4;1;4;3;4;4;4
9;1;11;2;4;1;25;1;413;7;259;4;4;209;1;2;0;4;2;2;3;2
9;1;11;2;4;1;25;1;723;7;57;4;3;579;3;3;4;0;4;2;4;3
9;1;11;2;4;1;7;3;219;13;214;5;4;265;3;4;2;4;3;1;4;3
9;1;11;2;4;1;25;1;445;5;77;5;4;568;0;4;2;4;2;4;4;4
9;1;11;2;4;1;25;1;196;9;95;2;4;264;2;4;3;4;3;2;3;4
9;1;11;2;4;1;25;1;761;4;45;2;3;487;5;4;4;4;4;4;4;4
9;1;11;2;4;1;25;1;324;4;150;3;4;398;9;4;2;3;2;4;3;2
9;1;11;2;4;1;10;2;760;4;340;3;2;568;0;3;1;3;2;2;2;1
9;1;11;2;4;1;25;1;276;6;41;2;3;582;2;0;1;4;2;4;2;4
9;1;11;2;4;1;25;1;272;9;244;7;3;15;5;4;4;4;3;2;4;4
9;1;11;2;4;2;25;1;212;3;150;3;4;279;6;3;0;4;0;1;3;1
9;1;11;2;4;2;12;1;617;4;42;3;4;518;0;4;3;4;4;4;4;4
9;1;11;2;4;4;25;1;318;3;150;3;4;434;4;4;0;4;0;0;4;2
9;1;11;2;4;4;25;1;318;3;150;3;4;105;1;4;4;4;0;0;4;4
9;1;10;2;2;1;7;3;506;4;120;4;4;517;6;2;1;3;0;2;2;4
10;1;10;2;2;1;25;1;336;5;337;1;4;568;0;3;2;2;3;3;3;4
10;1;10;2;2;1;7;3;219;13;214;5;3;517;6;4;2;4;4;4;4;4
10;1;10;2;2;1;7;3;506;4;120;4;4;110;1;3;1;3;3;3;2;3
9;1;8;2;3;4;25;1;99;8;181;6;4;568;0;4;4;4;4;4;4;4
9;1;8;2;3;1;24;1;899;1;318;3;0;213;4;4;0;2;4;4;2;2
9;1;8;2;3;1;8;1;797;2;313;3;4;21;2;4;0;4;1;4;4;4
9;1;8;2;3;1;26;2;101;7;227;10;4;275;2;4;0;2;0;3;4;4
9;1;8;2;3;3;25;1;103;8;214;5;4;125;3;4;0;4;3;4;4;4
9;1;8;2;3;4;26;2;98;9;234;9;4;370;9;4;0;4;2;3;4;4
9;1;8;2;3;1;24;1;899;1;318;3;4;394;7;4;4;4;4;4;3;4
9;1;8;2;3;1;26;2;724;4;149;6;4;534;7;4;0;4;4;4;4;4
9;1;8;2;3;3;25;1;165;4;344;1;4;144;4;2;0;4;1;4;3;4
9;1;8;2;3;1;25;1;803;3;186;8;4;33;3;2;0;3;1;4;2;4
9;1;8;2;3;1;26;2;105;5;232;8;4;275;2;4;0;4;0;4;4;4
9;1;8;2;3;1;25;1;803;3;14;1;4;10;2;4;2;2;4;4;2;0
10;1;4;2;13;2;8;1;148;5;132;3;3;8;2;2;3;3;3;4;2;2
9;1;5;2;6;4;7;3;787;4;35;4;3;209;1;1;3;4;2;3;4;4
9;1;5;2;6;1;25;1;868;3;341;2;3;264;2;4;2;4;2;4;4;3
9;1;5;2;6;1;8;1;797;2;313;3;4;256;2;4;0;4;4;4;4;4
9;1;5;2;6;1;26;2;101;7;227;10;4;230;5;4;4;4;1;0;4;4
9;1;5;2;6;3;25;1;103;8;214;5;4;568;0;3;1;4;3;0;3;4
9;1;5;2;6;4;26;2;98;9;234;9;4;455;3;4;4;4;4;4;4;4
9;1;5;2;6;1;24;1;899;1;318;3;4;568;0;4;1;4;3;1;4;4
9;1;5;2;6;1;26;2;724;4;149;6;4;40;4;3;3;2;2;3;3;4
9;1;5;2;6;3;1;1;304;7;90;6;4;582;2;2;1;3;2;2;4;4
9;1;5;2;6;1;25;1;920;2;82;2;4;15;5;4;4;4;4;4;4;4
9;1;5;2;6;1;7;3;799;3;308;5;4;444;5;3;3;3;3;4;4;4
9;1;5;2;7;2;25;1;923;1;14;1;0;473;9;4;1;4;4;0;4;4
9;1;5;2;7;2;7;3;49;12;111;5;4;302;9;4;2;4;4;4;4;4
9;1;5;2;7;2;25;1;21;9;200;6;3;340;8;3;1;4;4;3;2;4
9;1;5;2;7;2;4;4;716;5;210;6;3;340;8;3;2;4;4;3;3;4
9;1;5;2;7;2;26;2;922;3;15;5;3;340;8;4;2;4;4;3;3;4
9;1;5;2;7;4;26;2;831;5;52;6;3;340;8;4;2;4;4;4;4;4
9;1;5;2;7;1;10;2;886;2;68;5;4;340;8;4;2;4;4;4;4;4
9;1;5;2;7;2;6;2;921;2;82;2;3;340;8;4;2;4;4;2;4;4
9;1;5;2;7;2;7;3;812;6;24;2;3;340;8;4;1;4;4;4;4;4
9;1;5;2;7;2;25;1;126;6;87;3;4;340;8;2;1;3;4;4;3;3
9;1;5;2;7;1;10;2;167;6;143;2;2;298;9;4;2;4;4;3;4;4
9;1;5;2;7;1;10;2;810;4;205;3;2;294;4;3;1;4;4;3;4;4
9;1;5;2;7;3;25;1;458;4;261;3;1;345;8;4;2;4;3;4;3;4
9;1;5;2;7;4;6;2;175;4;174;6;3;337;7;4;2;4;4;4;4;4
9;2;8;2;1;1;25;1;789;5;285;4;1;293;3;2;0;3;1;3;3;3
9;2;8;2;1;1;25;1;789;5;285;4;1;140;4;4;2;4;4;4;4;3
9;2;6;2;10;4;6;2;858;5;86;3;3;209;1;4;1;4;4;2;4;4
9;2;6;2;10;1;28;0;397;5;130;2;4;215;3;3;4;4;3;4;4;4
9;2;6;2;10;2;6;2;527;7;93;3;3;575;1;2;3;4;4;2;3;2
9;2;12;2;5;4;1;1;62;14;47;1;4;320;7;2;4;0;3;2;0;3
9;2;13;2;5;1;28;0;397;5;130;2;4;20;1;3;2;4;2;2;3;1
10;2;13;2;5;1;12;1;91;6;138;1;4;275;2;4;3;4;0;3;2;4
9;2;13;2;5;1;25;1;910;3;20;4;2;275;2;3;4;4;4;4;4;4
9;2;13;2;5;2;6;2;527;7;93;3;3;371;5;3;0;4;3;0;4;4
9;2;13;2;5;2;6;2;527;7;93;3;3;371;5;4;0;3;1;1;4;4
9;2;13;2;5;2;25;1;424;5;82;2;3;321;8;3;0;3;2;3;3;1
9;2;13;2;5;2;25;1;50;2;296;2;0;137;5;4;1;4;4;3;0;4
9;2;13;2;5;4;12;1;63;9;47;1;4;209;1;4;4;4;0;4;4;2
9;2;13;2;5;4;1;1;68;14;54;5;4;531;2;2;3;4;3;4;4;4
9;2;13;2;5;4;7;3;399;8;214;5;4;372;6;4;0;4;2;2;2;4
9;2;13;2;5;4;25;1;341;6;47;1;4;407;4;3;2;4;2;2;3;4
9;2;13;2;5;4;25;1;382;4;116;3;1;293;3;2;3;3;2;1;3;1
9;2;13;2;5;4;12;1;55;15;138;1;2;320;7;3;2;1;4;4;3;4
9;2;13;2;5;4;24;1;899;1;138;1;4;209;1;4;4;4;4;4;4;4
9;2;13;2;5;4;7;3;34;18;52;6;4;568;0;2;1;4;4;4;4;4
9;2;7;2;4;1;25;1;650;4;96;3;4;321;8;4;0;4;0;1;4;4
9;2;7;2;4;1;25;1;650;4;96;3;4;444;5;3;2;4;2;1;2;2
9;2;8;2;4;1;8;1;95;7;18;3;4;237;4;3;0;4;2;0;3;4
9;2;8;2;4;1;8;1;95;7;18;3;4;580;3;3;2;4;2;3;2;2
9;2;11;2;4;1;25;1;72;12;220;4;4;455;3;4;0;4;0;1;3;4
9;2;11;2;4;1;25;1;162;4;218;3;4;271;2;4;0;4;0;0;4;4
